dataforge-sensor-generators  | 2026-09-20 09:41:43,086  INFO  Published totals — radar=309815 lidar=310344 telemetry=309500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,184  INFO  Published totals — radar=309986 lidar=310500 telemetry=309655 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,193  INFO  Published totals — radar=310000 lidar=310514 telemetry=309665 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,410  INFO  Published totals — radar=310336 lidar=310858 telemetry=310000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,513  INFO  Published totals — radar=310488 lidar=311000 telemetry=310137 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,521  INFO  Published totals — radar=310500 lidar=311005 telemetry=310146 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,756  INFO  Published totals — radar=310855 lidar=311349 telemetry=310500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,850  INFO  Published totals — radar=311000 lidar=311495 telemetry=310638 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:43,852  INFO  Published totals — radar=311002 lidar=311500 telemetry=310640 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,130  INFO  Published totals — radar=311397 lidar=311895 telemetry=311000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,214  INFO  Published totals — radar=311476 lidar=312000 telemetry=311087 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,234  INFO  Published totals — radar=311500 lidar=312023 telemetry=311117 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,532  INFO  Published totals — radar=311845 lidar=312406 telemetry=311500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,599  INFO  Published totals — radar=311935 lidar=312500 telemetry=311605 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,656  INFO  Published totals — radar=312000 lidar=312569 telemetry=311674 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,890  INFO  Published totals — radar=312342 lidar=312906 telemetry=312000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:44,944  INFO  Published totals — radar=312415 lidar=313000 telemetry=312099 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,009  INFO  Published totals — radar=312500 lidar=313093 telemetry=312187 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,232  INFO  Published totals — radar=312845 lidar=313408 telemetry=312500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,292  INFO  Published totals — radar=312929 lidar=313500 telemetry=312571 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,338  INFO  Published totals — radar=313000 lidar=313567 telemetry=312649 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,603  INFO  Published totals — radar=313375 lidar=313932 telemetry=313000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,644  INFO  Published totals — radar=313427 lidar=314000 telemetry=313051 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,694  INFO  Published totals — radar=313500 lidar=314075 telemetry=313117 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,921  INFO  Published totals — radar=313911 lidar=314474 telemetry=313500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,940  INFO  Published totals — radar=313941 lidar=314500 telemetry=313533 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:45,989  INFO  Published totals — radar=314000 lidar=314586 telemetry=313607 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,244  INFO  Published totals — radar=314381 lidar=314988 telemetry=314000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,252  INFO  Published totals — radar=314387 lidar=315000 telemetry=314006 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,325  INFO  Published totals — radar=314500 lidar=315124 telemetry=314143 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,547  INFO  Published totals — radar=314827 lidar=315450 telemetry=314500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,589  INFO  Published totals — radar=314898 lidar=315500 telemetry=314563 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,662  INFO  Published totals — radar=315000 lidar=315604 telemetry=314689 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,862  INFO  Published totals — radar=315268 lidar=315851 telemetry=315000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:46,933  INFO  Published totals — radar=315387 lidar=316000 telemetry=315115 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,017  INFO  Published totals — radar=315500 lidar=316118 telemetry=315251 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,167  INFO  Published totals — radar=315753 lidar=316330 telemetry=315500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,270  INFO  Published totals — radar=315892 lidar=316500 telemetry=315666 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,333  INFO  Published totals — radar=316000 lidar=316591 telemetry=315752 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,485  INFO  Published totals — radar=316276 lidar=316850 telemetry=316000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,584  INFO  Published totals — radar=316429 lidar=317000 telemetry=316148 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,629  INFO  Published totals — radar=316500 lidar=317081 telemetry=316220 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,848  INFO  Published totals — radar=316833 lidar=317393 telemetry=316500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:47,922  INFO  Published totals — radar=316940 lidar=317500 telemetry=316602 | failed — radar=0 lidar=0 telemetry=0
